source_id,platform,original_name,original_label,original_description,original_type,original_collection,original_reachability,source_context,classification,canonical_names,child_dispatch_names,rule_ids,reason,original_sha256
IOS-001,ios,maintenance,서비스 점검 안내,"서버 점검 중일 때 앱 화면 전체를 대신 덮는 안내 화면. 점검 안내 문구와 예상 소요시간(시작~종료 시각)만 보여 주고 빠져나가는 버튼이 없어, 점검이 끝나면 앱을 다시 켜야 한다.",fullScreenCover,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 1, ""excel_row"": 2}",screen,app_maintenance,,S3,점검으로 앱 전체를 이용할 수 없고 닫는 방법도 없는 관문입니다. 잠시 표시되는 오류 알림과 달리 앱 목적지를 대신하므로 별도 이름을 둡니다.,5dc6dfdbc6e5fc31d8181eb27dcb34eb610f485a2c64c84d89501230fe3298f5
IOS-002,ios,splash,스플래시,"앱을 켤 때마다 가장 먼저 나오는 인트로 영상 화면으로, 준비가 끝나면 몇 초 뒤 저절로 사라진다. 개발·알파 빌드에서는 오른쪽 아래에 어떤 빌드인지 알려 주는 배지가 붙는다.",fullScreenCover,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 2, ""excel_row"": 3}",screen,app_splash,,S1,로그인 여부와 무관하게 앱을 준비하는 시작 목적지입니다. 인트로 영상의 재생·사라짐은 같은 시작 방문의 상태로 보고 이름을 늘리지 않습니다.,aa1cabace48f1d457d442991750ba532cb17e589baae7a6dfbb6289407b850e9
IOS-003,ios,onboarding_permission,접근 권한 안내,"알림과 미디어 저장공간이라는 선택 권한이 왜 필요한지 미리 설명하는 안내 화면으로, 「확인」을 누르면 실제 알림 권한 요청으로 이어진다. 로그인 직후 알림 권한을 아직 한 번도 묻지 않은 사용자에게만 뜨고, 튜토리얼을 볼 차례면 튜토리얼이 먼저 나온다.",fullScreenCover,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 3, ""excel_row"": 4}",screen,onboarding_permission,,S1,시스템 권한 요청 전에 앱이 이유를 설명하고 확인을 받는 첫 이용 목적지입니다. 이어지는 OS 권한 팝업은 시스템 조작으로 기록합니다.,cadd76788aeaf1a9c35c398f0f1ef468c7674db1cf0b0369df87b0586992a7ff
IOS-004,ios,personal_info_reconsent_document,개인정보 이용 재동의 약관 전문,"약관 원문을 웹 문서 그대로 띄워 읽게 하는 시트로, 개인정보 재동의 안내 팝업의 「전문보기」를 누르면 열린다. 설정 안의 약관 화면들도 같은 시트를 각기 다른 문서로 띄운다.",sheet,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 4, ""excel_row"": 5}",screen,agreement_document,,M1;S1,약관 전문을 읽는 공통 목적지입니다. 가입·재동의·설정에서 여는 경로와 문서 종류는 계약의 구분 값으로 남기고 이름을 늘리지 않습니다.,73cf90375ae6b2c3b0a5b0812f136b297a2bb53eb5d3107b5e21d9f16ab1293c
IOS-005,ios,app_force_logout,강제 로그아웃 안내,"인증이 풀려 더는 로그인 상태를 이어 쓸 수 없을 때 뜨는 안내 팝업으로, 버튼이 「로그아웃」 하나뿐이다. 누르면 세션을 끝내고 로그인 화면으로 되돌아간다.",팝업,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 5, ""excel_row"": 6}",screen,auth_session_expired,,S3,인증이 풀려 로그인 상태를 계속할 수 없고 로그아웃·재로그인으로 이어지는 관문입니다.,aec093832b416db01a6b0180f823de6ad240456ea069448358d2f7cd30866f07
IOS-006,ios,app_force_update,강제 업데이트 안내,"지금 설치된 버전으로는 서비스를 쓸 수 없을 때 앱 진입 자체를 막는 팝업으로, 버튼이 「업데이트」 하나뿐이라 앱스토어로 나가는 것 말고 진행할 길이 없다. 로그인하기 전에도 뜬다.",팝업,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 6, ""excel_row"": 7}",screen,app_update_required,,S3,현재 버전으로 앱 이용을 계속할 수 없고 업데이트 외 진행 경로가 없습니다. 일반 권장 안내와 구분합니다.,f9b9d66fb829021f50316ff457bb9585232521202b20696bfe173e138ff460bd
IOS-007,ios,personal_info_agreement,개인정보 수집 및 이용 동의 안내,"개인정보 처리방침이 개정돼 다시 동의를 받아야 하는 사용자에게 로그인 직후 화면 위로 덮이는 동의 카드. 「전문보기」로 약관 원문을 확인할 수 있고, 「동의하고 계속」 말고는 닫을 방법이 없다.",팝업,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 7, ""excel_row"": 8}",screen,agreement_reconsent,,S3,기존 회원이 개정 약관에 동의해야 앱 이용을 계속할 수 있는 관문입니다. 신규 가입 동의와 나누고 전문을 열면 agreement_document를 보냅니다.,8415ab868a4efd5393889519e229fe349d00de3769c5a7427ba1dc297d68cfbe
IOS-008,ios,app_recommended_update,권장 업데이트 안내,"새 버전이 나왔을 때 업데이트를 권하는 팝업으로, 「나중에」를 고르면 그 버전은 다시 묻지 않는다. 안내 문구는 강제 업데이트와 똑같고 버튼이 두 개라는 점만 다르다.",팝업,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 8, ""excel_row"": 9}",action,,,A2,권장 안내나 완료 사실만 알려 주는 표면입니다. 페이지 크기여도 화면 조회에서 제외하며 노출·결과·이어가기 행동을 별도로 기록합니다.,476c2a365df25e9f637a5a1db74cd25ed28bec06dbbdc801173afe03ca2306f8
IOS-009,ios,upload_cover_required_popup,커버 등록 유도 팝업 (업로드 전 프로필 커버 등록),"프로필 커버 등록을 아직 마치지 않은 사용자가 업로드를 시작하려 하면 작성 화면 대신 먼저 가로막는 팝업. 탭바 가운데 + 버튼이나 업로드 딥링크로 들어올 때 뜨고, 「커버 등록하기」를 누르면 진행 상태에 따라 커버 소개 화면이나 커버 편집 화면으로 보낸다.",팝업,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 9, ""excel_row"": 10}",screen,profile_cover_required,,S3,요청한 업로드가 커버 미등록 조건에 막혔음을 알리고 커버 등록으로 보냅니다. 업로드 포기와 등록 전환을 확인합니다.,1f127c72def930d88c8c6c4f9a3445bc4d1e208ba19a973bd1e00aae68a8ea8b
IOS-010,ios,portfolio_registered_popup,포트폴리오 등록 완료 팝업,"백그라운드로 올라가던 포트폴리오 등록이 끝나면 사용자가 어느 화면에 있든 가운데에 뜨는 완료 알림. 저절로 사라지지 않고, 「포트폴리오 보기」로 방금 올린 작업물로 넘어가거나 「닫기」로만 닫힌다.",팝업,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 10, ""excel_row"": 11}",action,,,A2,권장 안내나 완료 사실만 알려 주는 표면입니다. 페이지 크기여도 화면 조회에서 제외하며 노출·결과·이어가기 행동을 별도로 기록합니다.,3dabdb77b45c0305c1196c689df8446e9f5dbf1a88c82ed91d18e14b7a57f233
