여정,GA 화면 제목(screen_name/page_title),개발 키(screen_key),화면 범위,진입 경로,다음 이동,플랫폼,표시 조건,화면 경계
앱 실행·가입·로그인,앱 실행 · 시작 화면,app_splash,앱이 준비되는 동안 자체 시작 화면이 전면에 표시되는 구간입니다.,앱 아이콘 실행 또는 콜드 딥링크,로그인 상태에 따라 시작 화면 또는 메인 목적지로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,OS가 표시하는 launch screen과 백그라운드 복귀는 제외합니다. 앱 소유 시작 화면이 표시된 경우만 기록합니다.
앱 실행·가입·로그인,로그인 · 시작,auth_entry,로그인·회원가입 방법을 선택하는 첫 화면입니다.,앱 실행 → 비로그인 상태,이메일 입력 또는 외부 소셜 인증으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
앱 실행·가입·로그인,로그인 · 이메일 입력,auth_email_login,이메일로 계정 존재 여부를 확인하는 화면입니다.,로그인 시작 → 이메일로 계속,"기존 계정은 비밀번호 입력, 신규 계정은 가입 약관으로 이동합니다.","aos,ios",이 화면이 실제 전면에 표시된 경우,계정 존재 여부 확인 전이므로 가입/로그인 두 화면으로 중복 정의하지 않습니다.
앱 실행·가입·로그인,로그인 · 비밀번호 입력,login_password,기존 이메일 계정의 비밀번호를 입력하는 인증 화면입니다.,이메일 입력 → 기존 계정 확인,"로그인 성공 시 메인, 추가 인증 필요 시 2단계 인증, 비밀번호 찾기 시 재설정으로 이동합니다.","aos,ios",이 화면이 실제 전면에 표시된 경우,iOS는 같은 View 안에서 비밀번호 입력 단계로 바뀝니다. 이메일 영역 재렌더가 아니라 passwordVisible 전환으로 인증 과업이 바뀐 시점에 한 번 기록합니다.
앱 실행·가입·로그인,로그인 · 2단계 인증,auth_login_2fa,2단계 인증 코드를 입력하여 로그인을 마치는 화면입니다.,비밀번호 로그인 → 추가 인증 필요,인증 성공 시 메인 목적지로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
앱 실행·가입·로그인,회원가입 · 약관 동의,auth_signup_terms,회원가입에 필요한 약관을 읽고 동의하는 독립 과업 시트입니다.,이메일 신규 계정 또는 소셜 신규 계정 확인,"이메일 가입은 이메일 인증, 소셜 가입은 ID 입력으로 이동합니다.","aos,ios",이 화면이 실제 전면에 표시된 경우,
앱 실행·가입·로그인,회원가입 · 이메일 인증,signup_email_verify,신규 가입 이메일로 받은 인증번호를 입력하는 화면입니다.,가입 약관 동의 → 이메일 가입,인증 성공 후 가입 비밀번호 설정으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,비밀번호 재설정 인증과 다른 목적이므로 화면명을 분리합니다. 단순 재전송은 현재 화면의 액션입니다.
앱 실행·가입·로그인,회원가입 · 비밀번호 설정,signup_password,신규 이메일 계정에 사용할 비밀번호를 만드는 화면입니다.,회원가입 이메일 인증 완료,가입 ID 입력으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
앱 실행·가입·로그인,회원가입 · ID 입력,auth_signup_id,프로필 주소에 사용할 고유 ID를 입력하는 화면입니다.,이메일 비밀번호 설정 또는 소셜 약관 동의,가입 이름 입력으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
앱 실행·가입·로그인,회원가입 · 이름 입력,auth_signup_name,본명 또는 활동명을 입력하고 회원가입을 마치는 화면입니다.,회원가입 ID 입력 완료,회원가입 성공 처리 뒤 첫 이용 안내로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,회원가입 완료 버튼과 가입 성공 응답은 sign_up 액션입니다. 별도의 회원가입 완료 화면을 만들어 기록하지 않습니다.
