screen_name,한국어 라벨,구간,종류,핵심,파라미터,AOS 현행,AOS 할 일,AOS 체류,iOS 행,iOS 현행·제안명,iOS 할 일,정의서 v2 키,답하는 질문,비고
app_entry,앱 실행 · 스플래시,앱 실행·가입·로그인,화면,핵심,,app_entry,현행 유지,3종,2,splash,제안 개명,app_splash,앱을 연 세션 수(모든 여정의 분모),
maintenance,서비스 · 점검 안내,앱 실행·가입·로그인,화면,,,,추가(존재 확인),,1,maintenance,제안 채택,system_maintenance,,
signup_method,로그인·가입 · 방법 선택,앱 실행·가입·로그인,화면,핵심,,signup_method,현행 유지,3종,17,join_landing,제안 개명,auth_entry,가입 시작 대비 완료(가입 퍼널 1단계),
signup_terms,가입 · 약관 동의,앱 실행·가입·로그인,시트,핵심,,signup_terms,현행 유지,3종,21,signup_terms,현행 유지,auth_signup_terms,,
signup_email_verification,가입 · 이메일 인증번호,앱 실행·가입·로그인,화면,,,,추가,,15,signup_email_verification,제안 채택,signup_email_verify,,
signup_password,가입 · 비밀번호 설정,앱 실행·가입·로그인,화면,,,,추가,,11,signup_password,제안 채택,signup_password,,
login_email,로그인 · 이메일 입력,앱 실행·가입·로그인,화면,,,,추가,,14,login_email,제안 채택,auth_email_login,,iOS는 이메일→비밀번호가 한 push 안의 단계. 비밀번호 단계가 별도 화면이면 login_password를 발송합니다.
login_password,로그인 · 비밀번호 입력,앱 실행·가입·로그인,화면,,,,추가,,,,확인,login_password,,
login_2fa_email,로그인 · 2단계 인증 코드,앱 실행·가입·로그인,화면,,,,추가,,16,login_2fa_email,제안 채택,auth_login_2fa,,
reset_password_email,비밀번호 재설정 · 이메일 입력,앱 실행·가입·로그인,화면,,,,추가,,,,확인,login_reset_email,,
reset_password_verify,비밀번호 재설정 · 인증번호,앱 실행·가입·로그인,화면,,,,추가,,174,setting_reset_password_verify_email,제안 개명,login_reset_verify,,로그인 전·설정 안 어느 진입이든 같은 이름. 진입은 previous_screen으로 구분합니다.
reset_password_new,비밀번호 재설정 · 새 비밀번호,앱 실행·가입·로그인,화면,,,,추가,,160,setting_reset_password,제안 개명,login_reset_password,,
