platform,source,original_name,original_label,disposition,rules,unified_key,reason,flow_group
ios,IOS-001,maintenance,서비스 점검 안내,screen,S3,S002,점검으로 앱 전체를 이용할 수 없고 닫는 방법도 없는 관문입니다. 잠시 표시되는 오류 알림과 달리 앱 목적지를 대신하므로 별도 이름을 둡니다.,
ios,IOS-002,splash,스플래시,screen,S1,S001,로그인 여부와 무관하게 앱을 준비하는 시작 목적지입니다. 인트로 영상의 재생·사라짐은 같은 시작 방문의 상태로 보고 이름을 늘리지 않습니다.,
ios,IOS-003,onboarding_permission,접근 권한 안내,screen,S1,S020,시스템 권한 요청 전에 앱이 이유를 설명하고 확인을 받는 첫 이용 목적지입니다. 이어지는 OS 권한 팝업은 시스템 조작으로 기록합니다.,
ios,IOS-004,personal_info_reconsent_document,개인정보 이용 재동의 약관 전문,screen,M1 S1,S024,약관 전문을 읽는 공통 목적지입니다. 가입·재동의·설정에서 여는 경로와 문서 종류는 계약의 구분 값으로 남기고 이름을 늘리지 않습니다.,
ios,IOS-005,app_force_logout,강제 로그아웃 안내,screen,S3,S149,인증이 풀려 로그인 상태를 계속할 수 없고 로그아웃·재로그인으로 이어지는 관문입니다.,
ios,IOS-006,app_force_update,강제 업데이트 안내,screen,S3,S148,현재 버전으로 앱 이용을 계속할 수 없고 업데이트 외 진행 경로가 없습니다. 일반 권장 안내와 구분합니다.,
ios,IOS-007,personal_info_agreement,개인정보 수집 및 이용 동의 안내,screen,S3,S023,기존 회원이 개정 약관에 동의해야 앱 이용을 계속할 수 있는 관문입니다. 신규 가입 동의와 나누고 전문을 열면 agreement_document를 보냅니다.,
ios,IOS-008,app_recommended_update,권장 업데이트 안내,action,A2,,권장 안내나 완료 사실만 알려 주는 표면입니다. 페이지 크기여도 화면 조회에서 제외하며 노출·결과·이어가기 행동을 별도로 기록합니다.,
ios,IOS-009,upload_cover_required_popup,커버 등록 유도 팝업 (업로드 전 프로필 커버 등록),screen,S3,S150,요청한 업로드가 커버 미등록 조건에 막혔음을 알리고 커버 등록으로 보냅니다. 업로드 포기와 등록 전환을 확인합니다.,
ios,IOS-010,portfolio_registered_popup,포트폴리오 등록 완료 팝업,action,A2,,권장 안내나 완료 사실만 알려 주는 표면입니다. 페이지 크기여도 화면 조회에서 제외하며 노출·결과·이어가기 행동을 별도로 기록합니다.,
ios,IOS-011,signup_password,비밀번호 설정 / 재설정 입력,screen,S1,S006 S012,signup_password: 새 계정의 비밀번호를 정하는 가입 단계입니다. 같은 입력 화면을 재설정에 쓰면 reset_password_new를 보내 가입 전환과 계정 복구가 섞이지 않게 합니다. reset_password_new: 계정 복구를 위해 새 비밀번호를 확정합니다. 현재 비밀번호 확인부터 시작하는 설정의 비밀번호 변경과 구분합니다.,
ios,IOS-012,signup_user_id,사용자 ID 만들기,screen,S1,S013,AOS 원본의 ‘온보딩 · 기본정보 입력’ 그룹과 iOS 12행의 ‘사용자 ID 만들기’가 근거입니다. 신규 가입에서 ID를 처음 정하므로 기존 프로필 링크를 바꾸는 my_info_id와 분리합니다.,
ios,IOS-013,signup_name,이름 입력하기 (회원가입 완료),screen,S1,S014,AOS 온보딩 기본정보의 한글 이름과 iOS 가입 완료 단계의 이름 입력을 대응시킵니다. 기존 회원의 이름 수정은 my_info_name_ko로 구분합니다.,
ios,IOS-014,login_email,이메일 로그인 (이메일 입력 → 비밀번호 입력),screen,S1,S007 S008,login_email: 로그인 계정을 이메일로 식별하는 단계입니다. iOS는 비밀번호 단계와 같은 화면을 쓰지만 입력 대상과 다음 분기가 바뀌는 인증 체크포인트여서 이름을 나눕니다. login_password: 입력한 계정의 비밀번호로 로그인합니다. 이메일 단계와 구분하고 오류·재입력만으로 새 조회를 만들지 않습니다.,
ios,IOS-015,signup_email_verification,이메일 인증번호 입력,screen,S2 M2,S005 S011,같은 인증번호 입력 뷰라도 가입 확인과 비밀번호 재설정은 서로 다른 과업입니다. 호출 맥락으로 이름을 나눕니다.,
ios,IOS-016,login_2fa_email,2단계 인증 이메일 코드 입력,screen,S1,S009,2단계 인증을 켠 계정이 로그인을 마치기 위해 코드를 입력합니다. 설정에서 추가 인증을 처음 켜는 이메일 확인과 결과가 달라 나눕니다.,
ios,IOS-017,join_landing,로그인·가입 랜딩 (소셜/이메일 선택),screen,S1,S003,소셜·이메일 중 인증 방법을 고르는 공통 출발점입니다. AOS 가입 방법 선택과 iOS 로그인·가입 랜딩의 역할을 대응시킵니다.,
ios,IOS-018,onboarding_tutorial_complete,튜토리얼 완료 (입장 영상),screen,S1,S022,가이드 뒤 입장 영상을 감상하고 앱으로 들어가는 목적지입니다. 완료 사실만 보여 주는 알림과 구분해 채택한 정책이며 영상의 독립 분석 필요성은 의미 검토 때 확인합니다.,
