AOS 현행 screen_name,확정 screen_name,한국어 라벨,할 일,현행 발송,비고
home,home,홈 · 디스커버리 피드,현행 유지,3종,
finder,finder,파인더 · 탭 홈,현행 유지,3종,
finder_search,finder_search,파인더 · 검색 입력,현행 유지,3종,
chatty,chatty,채티 · 목록(탭),현행 유지,3종,채팅·라운지·프로젝트 하위탭은 같은 목록의 필터로 보고 tab 파라미터로 나눕니다. 탭 전환마다 tab 값을 바꿔 다시 발송합니다.
my_page,,,제거(중복),3종,MY 탭 진입 시 my_profile_card와 동시에 나갑니다. 멈추고 my_profile_card만 3종으로 발송합니다. 대시보드는 my_page를 my_profile_card 별칭으로 합칩니다.
finder_result_creator,finder_result_creator,파인더 · 크리에이터 검색 결과,현행 유지,3종,
finder_result_portfolio,finder_result_portfolio,파인더 · 포트폴리오 검색 결과,현행 유지,3종,
finder_result_project,finder_result_project,파인더 · 프로젝트 검색 결과,현행 유지,3종,
user_detail,user_detail,크리에이터 · 프로필(타인),현행 유지,3종,검색 결과 페이저(100행)도 같은 화면. 좌우로 넘겨 회원이 바뀌면 다시 발송(AOS 현행 규칙). 소개 탭(70행)은 tab=intro.
portfolio_detail,portfolio_detail,포트폴리오 · 상세,현행 유지,3종,
inspiration_detail,inspiration_detail,영감 · 상세,현행 유지,3종,
project_detail,project_detail,프로젝트 · 상세,현행 유지,3종,
proposal_detail,proposal_detail,협업 제안 · 상세(웹),현행 유지,3종,iOS는 제안 상세가 web_page 안에 묻히지 않도록 전용 이름으로 발송합니다.
my_profile_card,my_profile_card,MY · 내 프로필 카드(탭 루트),현행 유지(체류 추가),진입만,AOS는 MY 탭 진입 시 my_page와 my_profile_card가 함께 나가 화면 수가 부풀려집니다. my_page를 멈추고 이 이름 하나로 3종 발송합니다.
my_profile_preview,my_profile_preview,MY · 프로필 미리보기(웹),현행 유지,3종,
my_page_menu,my_page_menu,설정 · 홈,현행 유지,3종,설정 홈이지만 AOS 현행 이름이 my_page_menu라 그대로 쓰고 라벨로 바로잡습니다.
user_resume,user_resume,커리어 · 이력 관리(내 이력서),현행 유지,3종,이름은 타인 이력서처럼 읽히지만 내 이력 관리 화면입니다. 바꾸지 않고 라벨로 바로잡습니다.
visitor_today_bottom_sheet,visitor_today_bottom_sheet,MY · 오늘 방문자,현행 유지,3종,
service_agreement,service_agreement,설정 · 서비스 동의(약관 목록),현행 유지,3종,
pending_agreement_detail,pending_agreement_detail,갱신 약관 · 재동의,현행 유지,3종,"AOS는 약관 웹 상세+동의 화면, iOS는 재동의 카드 팝업. 목적(개정 약관 재동의)이 같아 한 이름."
shuffle_bundle,shuffle_bundle,추천 · 키워드 묶음 결과,현행 유지,3종,
member_profile_inspiration,member_profile_inspiration,크리에이터 · 인스퍼레이션 탭(현행 특례),현행 유지,3종,AOS가 이 탭만 별도 이름으로 발송 중입니다. 바꾸지 않고 iOS도 인스퍼레이션 탭 표시 시 같은 이름을 발송합니다. 다른 탭은 user_detail의 tab 파라미터.
bookmark_creator,bookmark_creator,북마크 · 크리에이터,현행 유지(체류 추가),진입만,
bookmark_portfolio,bookmark_portfolio,북마크 · 포트폴리오,현행 유지(체류 추가),진입만,
contacts_first_connections,contacts_first_connections,인맥 · 일촌,현행 유지(체류 추가),진입만,
contacts_follower,contacts_follower,인맥 · 팔로워,현행 유지(체류 추가),진입만,
contacts_following,contacts_following,인맥 · 팔로잉,현행 유지(체류 추가),진입만,
contacts_team,contacts_team,팀 · 팀 홈(AOS 현행),현행 유지,3종,AOS 팀 홈과 iOS team_list가 같은 화면으로 보이나 두 이름이 이미 발송 중입니다. 코드는 두지 않고 대시보드 별칭으로 합칩니다. 다음 큰 개편 때 하나로 수렴(팀 결정).
discovery_recommend_keywords,discovery_recommend_keywords,추천 · Shuffle! 키워드 추천(웹),현행 유지,3종,
discovery_recommend_network,discovery_recommend_network,추천 · 인맥 둘러보기(웹),현행 유지,3종,
app_entry,app_entry,앱 실행 · 스플래시,현행 유지,3종,
signup_method,signup_method,로그인·가입 · 방법 선택,현행 유지,3종,
signup_terms,signup_terms,가입 · 약관 동의,현행 유지,3종,
portfolio_create,portfolio_create,작업물 · 종류 선택(신규 진입),현행 유지,3종,"iOS 188행(포트폴리오 작성)은 종류를 고르기 전에는 portfolio_create, 고른 뒤에는 유형별 *_portfolio_create를 발송합니다."
text_portfolio_create,text_portfolio_create,작업물 · 텍스트 작성,현행 유지,3종,
img_portfolio_create,img_portfolio_create,작업물 · 이미지 작성,현행 유지,3종,
video_portfolio_create,video_portfolio_create,작업물 · 영상 작성,현행 유지,3종,
audio_portfolio_create,audio_portfolio_create,작업물 · 오디오 작성,현행 유지,3종,
pdf_portfolio_create,pdf_portfolio_create,작업물 · PDF 작성,현행 유지,3종,
youtube_portfolio_create,youtube_portfolio_create,작업물 · 유튜브 작성,현행 유지,3종,
text_portfolio_edit,text_portfolio_edit,작업물 · 텍스트 수정,현행 유지,3종,iOS 187행(포트폴리오 수정)은 작업물 유형에 따라 6개 이름 중 하나를 발송합니다.
img_portfolio_edit,img_portfolio_edit,작업물 · 이미지 수정,현행 유지,3종,
video_portfolio_edit,video_portfolio_edit,작업물 · 영상 수정,현행 유지,3종,
audio_portfolio_edit,audio_portfolio_edit,작업물 · 오디오 수정,현행 유지,3종,
pdf_portfolio_edit,pdf_portfolio_edit,작업물 · PDF 수정,현행 유지,3종,
youtube_portfolio_edit,youtube_portfolio_edit,작업물 · 유튜브 수정,현행 유지,3종,
project_card_create,project_card_create,프로젝트 카드 · 작성,현행 유지,3종,
project_card_edit,project_card_edit,프로젝트 카드 · 수정,현행 유지,3종,
inspiration_create,inspiration_create,영감 · 작성,현행 유지,3종,
inspiration_edit,inspiration_edit,영감 · 수정,현행 유지,3종,
basic_info_id,basic_info_id,가입 · ID 입력,현행 유지,3종,
basic_info_ko_name,basic_info_ko_name,가입 · 이름 입력(한글),현행 유지,3종,iOS 가입 이름 입력은 1단계입니다. 한글 이름 단계로 간주하되 iOS 리드가 확인합니다.
basic_info_en_name,basic_info_en_name,가입 · 영문 이름,현행 유지,3종,iOS 가입 흐름에 영문 이름 단계 없음(확인).
basic_info_jobs,basic_info_jobs,가입 · 직업 선택,현행 유지,3종,iOS는 커버 온보딩의 직업 단계(onboarding_cover_intro_profession)와 대응 가능성. 구간 롤업으로 비교.
basic_info_keyword_personal,basic_info_keyword_personal,가입 · 키워드(성향),현행 유지,3종,iOS는 자기소개 만들기(profile_expression_onboarding) 안 단계. 구간 롤업으로 비교.
basic_info_keyword_working_preference,basic_info_keyword_working_preference,가입 · 키워드(업무 성향),현행 유지,3종,
basic_info_keyword_ambition,basic_info_keyword_ambition,가입 · 키워드(목표),현행 유지,3종,
onboarding_cover_intro_profession,onboarding_cover_intro_profession,커버 소개 · 직업,현행 유지(체류 추가),진입만,
onboarding_cover_intro_nickname,onboarding_cover_intro_nickname,커버 소개 · 닉네임,현행 유지(체류 추가),진입만,
onboarding_cover_intro_ko_name,onboarding_cover_intro_ko_name,커버 소개 · 한글 이름,현행 유지(체류 추가),진입만,
onboarding_cover_intro_tagline,onboarding_cover_intro_tagline,커버 소개 · 한 줄 소개,현행 유지(체류 추가),진입만,
onboarding_cover_intro_media,onboarding_cover_intro_media,커버 소개 · 미디어,현행 유지(체류 추가),진입만,
onboarding_cover_intro_profile_image,onboarding_cover_intro_profile_image,커버 소개 · 프로필 이미지,현행 유지(체류 추가),진입만,iOS 25행(프로필 커버 만들기)은 딥링크 step= 값이 있는 단계형 화면이므로 단계마다 위 6개 이름을 발송합니다. 단계 구성이 다르면 없는 단계는 비웁니다.
proposal_create,proposal_create,협업 제안 · 작성(웹),이름만→발송,이름만,AOS는 이름만 있고 screen_view가 없어 조회수가 안 잡힙니다. iOS 203행(잠금 바텀시트 웹뷰)은 작성/수정 모드에 따라 두 이름.
proposal_edit,proposal_edit,협업 제안 · 수정(웹),이름만→발송,이름만,
