No,화면명(한글),화면 유형,iOS 제안·현행명,GA 현황,도달,판정,확정 screen_name,분류,사유·대응
1,서비스 점검 안내,fullScreenCover,maintenance,제안,도달 가능,채택,maintenance,제안 채택,
2,스플래시,fullScreenCover,splash,제안,도달 가능,채택,app_entry,제안 개명,splash → app_entry
3,접근 권한 안내,fullScreenCover,onboarding_permission,제안,도달 가능,채택,onboarding_permission,제안 채택,
4,개인정보 이용 재동의 약관 전문,sheet,personal_info_reconsent_document,제안,도달 가능,채택,agreement_document,통합 발송,→ agreement_document
5,강제 로그아웃 안내,팝업,app_force_logout,제안,도달 가능,제외,,확인·안내 팝업,버튼 하나로 닫히는 알림. 필요하면 이벤트(예: app_update_gate)로 셉니다.
6,강제 업데이트 안내,팝업,app_force_update,제안,도달 가능,제외,,확인·안내 팝업,버튼 하나로 닫히는 알림. 필요하면 이벤트(예: app_update_gate)로 셉니다.
7,개인정보 수집 및 이용 동의 안내,팝업,personal_info_agreement,제안,도달 가능,채택,pending_agreement_detail,제안 개명,personal_info_agreement → pending_agreement_detail
8,권장 업데이트 안내,팝업,app_recommended_update,제안,도달 가능,제외,,확인·안내 팝업,버튼 하나로 닫히는 알림. 필요하면 이벤트(예: app_update_gate)로 셉니다.
9,커버 등록 유도 팝업 (업로드 전 프로필 커버 등록),팝업,upload_cover_required_popup,제안,도달 가능,제외,,유도·완료 팝업,행동의 결과 알림. 완료는 행동 이벤트로 이미 잡힙니다.
10,포트폴리오 등록 완료 팝업,팝업,portfolio_registered_popup,제안,도달 가능,제외,,유도·완료 팝업,행동의 결과 알림. 완료는 행동 이벤트로 이미 잡힙니다.
11,비밀번호 설정 / 재설정 입력,push,signup_password,제안,도달 가능,채택,signup_password,제안 채택,
12,사용자 ID 만들기,push,signup_user_id,제안,도달 가능,채택,basic_info_id,제안 개명,signup_user_id → basic_info_id
13,이름 입력하기 (회원가입 완료),push,signup_name,제안,도달 가능,채택,basic_info_ko_name,제안 개명,signup_name → basic_info_ko_name
14,이메일 로그인 (이메일 입력 → 비밀번호 입력),push,login_email,제안,도달 가능,채택,login_email,제안 채택,
15,이메일 인증번호 입력,push,signup_email_verification,제안,도달 가능,채택,signup_email_verification,제안 채택,
16,2단계 인증 이메일 코드 입력,fullScreenCover,login_2fa_email,제안,도달 가능,채택,login_2fa_email,제안 채택,
17,로그인·가입 랜딩 (소셜/이메일 선택),fullScreenCover,join_landing,제안,도달 가능,채택,signup_method,제안 개명,join_landing → signup_method
18,튜토리얼 완료 (입장 영상),fullScreenCover,onboarding_tutorial_complete,제안,도달 가능,채택,onboarding_tutorial_complete,제안 채택,
19,튜토리얼 인트로 (온보딩 가이드),fullScreenCover,tutorial_intro,제안,도달 가능,채택,onboarding_tutorial,제안 개명,tutorial_intro → onboarding_tutorial
20,가입 약관 전문 보기 (동의 시트 위 전체 높이 시트),sheet,signup_terms_document,제안,도달 가능,채택,agreement_document,통합 발송,→ agreement_document
21,이용약관 동의 바텀시트 (가입),sheet,signup_terms,현행,도달 가능,채택,signup_terms,현행 유지,
22,자기소개 만들기 (키워드·이미지·소개글 온보딩),fullScreenCover,profile_expression_onboarding,제안,도달 가능,채택,profile_expression_onboarding,제안 채택,
23,자기소개 수정,fullScreenCover,profile_expression_edit,제안,도달 가능,채택,profile_expression_edit,제안 채택,
24,자기소개(표현) 편집 — 첨부 이미지 전체보기,fullScreenCover,profile_expression_image_viewer,제안,도달 가능,채택,media_viewer,통합 발송,→ media_viewer
25,프로필 커버 만들기 (첫 온보딩),fullScreenCover,profile_cover_onboarding,제안,도달 가능,채택,onboarding_cover_intro_profession · onboarding_cover_intro_nickname · onboarding_cover_intro_ko_name · onboarding_cover_intro_tagline · onboarding_cover_intro_media · onboarding_cover_intro_profile_image,단계별 발송,"→ onboarding_cover_intro_profession, onboarding_cover_intro_nickname, onboarding_cover_intro_ko_name, onboarding_cover_intro_tagline, onboarding_cover_intro_media, onboarding_cover_intro_profile_image"
26,프로필 커버 만들기 — 첨부 동영상 전체화면 재생,fullScreenCover,profile_cover_video_player,제안,도달 가능,채택,media_viewer,통합 발송,→ media_viewer
27,프로필 커버 만들기 — 첨부 이미지 전체보기,fullScreenCover,profile_cover_image_viewer,제안,도달 가능,채택,media_viewer,통합 발송,→ media_viewer
28,프로필 커버 수정,fullScreenCover,profile_cover_edit,제안,도달 가능,채택,profile_cover_edit,제안 채택,
29,자기소개 이미지 선택 (시스템 피커),sheet,profile_expression_photo_picker,제안,도달 가능,제외,,시스템 피커,OS가 그리는 사진·파일·메일 선택기. 앱 화면이 아닙니다.
30,홈(디스커버리 피드) 탭,탭 루트,home,현행,도달 가능,채택,home,현행 유지,
31,Muse 한 마디 목록,push,muse_comment_list,제안,딥링크 전용,채택,muse_comment_list,제안 채택,
32,디스커버리 크리에이터 모듈 전체보기,push,discovery_creator_module,제안,도달 가능,채택,discovery_creator_module,제안 채택,
33,영감 목록,push,inspiration_list,제안,딥링크 전용,채택,inspiration_list,제안 채택,
34,영감 상세,push,inspiration_detail,현행,도달 가능,채택,inspiration_detail,현행 유지,
35,포트폴리오 상세,push,portfolio_detail,현행,도달 가능,채택,portfolio_detail,현행 유지,
36,포트폴리오 사진 전체보기 뷰어,fullScreenCover,portfolio_image_viewer,제안,도달 가능,채택,media_viewer,통합 발송,→ media_viewer
37,Muse 한 마디 관리 시트,sheet,muse_comment_manage,제안,도달 가능,채택,muse_comment_manage,제안 채택,
38,Muse 한 마디 작성/수정 시트,sheet,muse_comment_input,제안,도달 가능,채택,muse_comment_input,제안 채택,
39,내 영감 옵션 시트 (수정·삭제·공유),sheet,inspiration_option_owner,제안,도달 가능,제외,,옵션(더보기) 시트,선택지 메뉴. 고른 행동은 행동 이벤트로 셉니다.
40,내 작업물 소유자 액션 시트 (대표작·수정·삭제·공유),sheet,portfolio_option_owner,제안,도달 가능,제외,,옵션(더보기) 시트,선택지 메뉴. 고른 행동은 행동 이벤트로 셉니다.
41,내 포트폴리오 옵션 (수정·삭제),sheet,home_portfolio_option_my,제안,도달 가능,제외,,옵션(더보기) 시트,선택지 메뉴. 고른 행동은 행동 이벤트로 셉니다.
42,내 프로젝트 카드 더보기 (수정·삭제·공유),sheet,home_project_card_option_my,제안,도달 불가,제외,,옵션(더보기) 시트,선택지 메뉴. 고른 행동은 행동 이벤트로 셉니다.
43,영감 댓글 바텀시트 (디스커버리 카드),sheet,home_inspiration_comment,제안,도달 가능,채택,inspiration_comment_list,통합 발송,→ inspiration_comment_list
44,영감 상세 댓글 바텀시트,sheet,inspiration_detail_comment,제안,도달 가능,채택,inspiration_comment_list,통합 발송,→ inspiration_comment_list
45,타인 영감 옵션 시트 (프로필 저장·공유·차단·신고),sheet,inspiration_option_other,제안,도달 가능,제외,,옵션(더보기) 시트,선택지 메뉴. 고른 행동은 행동 이벤트로 셉니다.
46,타인 포트폴리오 더보기 옵션 시트,sheet,portfolio_option_other,제안,도달 가능,제외,,옵션(더보기) 시트,선택지 메뉴. 고른 행동은 행동 이벤트로 셉니다.
47,포트폴리오 댓글 바텀시트 (디스커버리 카드),sheet,home_portfolio_comment,제안,도달 가능,채택,portfolio_comment_list,통합 발송,→ portfolio_comment_list
48,포트폴리오 상세 댓글 바텀시트,sheet,portfolio_detail_comment,제안,도달 가능,채택,portfolio_comment_list,통합 발송,→ portfolio_comment_list
49,리스펙트 한마디 고르기,팝업,portfolio_respect_phrase,제안,도달 가능,채택,respect_select,제안 개명,portfolio_respect_phrase → respect_select
50,카드 롱프레스 액션 오버레이,팝업,home_card_long_press,제안,도달 가능,제외,,옵션(더보기) 시트,선택지 메뉴. 고른 행동은 행동 이벤트로 셉니다.
51,상세를 열 수 없어요 (탐색 세션 만료 안내),push,detail_browse_unavailable,제안,도달 가능,제외,,오류 상태,같은 목적지의 오류 문구. 오류 이벤트로 셉니다.
